Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_adstock_log,Google_Impressions_adstock,Google_Impressions_adstock_log,Email_Impressions_adstock,Email_Impressions_adstock_log,Affiliate_Impressions_adstock,Affiliate_Impressions_adstock_log,Paid_Views_adstock,Paid_Views_adstock_log
R,2019-06-22,7970,6086,126057,179144.2613,53594,3958,13427,65730,6,25,2019,0.12053668025532308,-0.992708874098054,0,0,0,1,112858.98477390544,11.633903256611775,356835.62847281864,12.785033332694828,328342.644350664,12.701816035106715,7990.725339548329,8.98616195281445,26582.21898055489,10.188035430297813
R,2019-06-29,8174,5995,233027,183784.2953,32377,3918,13951,60360,6,26,2019,-3.216245299353273e-16,-1.0,0,0,0,1,88806.49238695271,11.394226299147943,411444.8142364093,12.927432611781017,347955.617475332,12.759833088558398,7913.362669774165,8.976434447250462,21465.109490277446,9.97423066766563
R,2019-07-06,7675,6758,312423,171511.5274,30617,3903,13129,42093,7,27,2019,-0.12053668025532283,-0.992708874098054,0,0,0,1,75020.24619347636,11.225526634981199,518145.40711820463,13.158013120531013,345489.336137666,12.75271995114069,7859.681334887082,8.969628565494299,18407.554745138725,9.820570767350793
R,2019-07-13,7111,11422,352447,108698.4359,71300,5415,17596,81926,7,28,2019,-0.23931566428755743,-0.9709418174260521,0,0,0,1,108810.12309673819,11.597368842523425,611519.7035591023,13.323704090542119,281443.103968833,12.547689141903275,9344.840667443541,9.14268667490657,16314.777372569362,9.699887855613381
R,2019-07-20,6146,13542,289116,228201.3801,39086,4840,19749,63740,7,29,2019,-0.3546048870425356,-0.9350162426854148,0,0,0,1,93491.06154836909,11.445631808446297,594875.8517795511,13.296109691307075,368922.9320844165,12.81834575565894,9512.42033372177,9.160458747421298,14303.388686284681,9.568321670302266
R,2019-07-27,8758,12462,303914,144168.7645,53881,4534,20901,42756,7,30,2019,-0.46472317204376806,-0.8854560256532101,0,0,0,1,100626.53077418455,11.519181164955498,601351.9258897756,13.30693727226243,328630.23054220824,12.702691521281007,9290.210166860885,9.13682408886345,15909.69434314234,9.674746762311816
R,2019-08-03,18870,14399,151050,114053.6161,22079,3373,33327,48489,8,31,2019,-0.5680647467311556,-0.8229838658936565,0,0,0,1,72392.26538709228,11.189868554531925,451725.9629448878,13.020833212012812,278368.73137110414,12.536705478008239,8018.105083430442,8.989582109027246,26824.84717157117,10.197121148419459
R,2019-08-10,8775,17244,187158,139232.8265,30237,4467,25668,39860,8,32,2019,-0.663122658240795,-0.7485107481711013,0,0,0,1,66433.13269354614,11.103966249977388,413020.9814724439,12.93125609443105,278417.1921855521,12.536879550801558,8476.05254171522,9.045118090738923,22187.423585785586,10.007325971753021
R,2019-08-17,9476,15970,224999,152079.0742,46994,4472,24482,52663,8,33,2019,-0.7485107481711011,-0.6631226582407952,0,0,0,1,80210.56634677306,11.29242300224377,431509.49073622195,12.975047101460886,291287.6702927761,12.58207004858585,8710.02627085761,9.072344889640037,20569.71179289279,9.931623585494734
R,2019-08-24,9463,10852,294879,151021.3521,35370,4381,19705,94348,8,34,2019,-0.8229838658936564,-0.5680647467311559,0,0,0,1,75475.28317338653,11.231573755734084,510633.74536811095,13.143409829590512,296665.18724638806,12.600362837015496,8736.013135428806,9.07532366372249,19747.855896446395,9.890850839357448
