Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_lag_1,Google_Impressions_adstock,Google_Impressions_lag_1,Email_Impressions_adstock,Email_Impressions_lag_1,Affiliate_Impressions_adstock,Affiliate_Impressions_lag_1,Paid_Views_adstock,Paid_Views_lag_1
A,2018-01-20,81,970,742,430042.1538,52232,17048,759,48715,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,91256.49844994608,19376.0,1153.970266108672,460.0,921064.6766870025,243901.2666,45526.613418958186,10156.0,423.1277412786952,292.0
L,2018-01-20,858,967,55,1101362.612,95552,71778,608,149210,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,141180.24922497303,52232.0,631.985133054336,742.0,1561894.9503435013,430042.1538,94541.30670947909,17048.0,1069.5638706393477,81.0
U,2018-01-20,300,267,609,410741.3901,46115,23690,676,68361,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,116705.12461248651,95552.0,924.992566527168,55.0,1191688.8652717506,1101362.612,70960.65335473954,71778.0,834.7819353196738,858.0
Y,2018-01-20,169,70,844,342996.7147,26143,21564,880,46277,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,84495.56230624326,46115.0,1306.496283263584,609.0,938841.1473358753,410741.3901,57044.32667736977,23690.0,586.3909676598369,300.0
V,2018-01-20,582,157,25,1413049.217,150559,84256,100,166517,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,192806.7811531216,26143.0,678.248141631792,844.0,1882469.7906679376,342996.7147,112778.16333868488,21564.0,875.1954838299184,169.0
Z,2018-01-20,873,128,716,1152331.809,81574,57746,344,115549,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,177977.3905765608,150559.0,1055.124070815896,25.0,2093566.7043339687,1413049.217,114135.08166934244,84256.0,1310.5977419149592,582.0
M,2018-01-20,784,592,447,569696.987,52950,39026,425,62157,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,141938.6952882804,81574.0,974.562035407948,716.0,1616480.3391669844,1152331.809,96093.54083467122,57746.0,1439.2988709574797,873.0
O,2018-01-20,177,45,538,1768411.967,130524,73848,555,195278,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,201493.3476441402,52950.0,1025.281017703974,447.0,2576652.136583492,569696.987,121894.77041733562,39026.0,896.6494354787399,784.0
T,2018-01-20,369,707,533,161844.2029,19059,6795,631,28198,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,119805.6738220701,130524.0,1045.6405088519869,538.0,1450170.271191746,1768411.967,67742.38520866781,73848.0,817.3247177393699,177.0
C,2018-01-20,636,901,404,92002.73704,8171,4318,254,59541,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,68073.83691103505,19059.0,926.8202544259934,533.0,817087.872635873,161844.2029,38189.192604333904,6795.0,1044.662358869685,369.0
E,2018-01-20,228,566,919,1673212.05,213324,110055,745,292881,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,247360.91845551753,8171.0,1382.4101272129967,404.0,2081755.9863179366,92002.73704,129149.59630216696,4318.0,750.3311794348425,636.0
N,2018-01-20,389,759,975,993549.91,61909,46820,106,118576,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,185589.45922775875,213324.0,1666.2050636064982,919.0,2034427.9031589683,1673212.05,111394.79815108348,110055.0,764.1655897174212,228.0
Z,2018-01-20,883,865,311,628893.6704,54409,35391,287,62141,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,147203.72961387938,61909.0,1144.1025318032491,975.0,1646107.621979484,993549.91,91088.39907554173,46820.0,1265.0827948587107,389.0
K,2018-01-20,265,83,845,665813.1686,53004,34943,44,75913,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,126605.86480693969,54409.0,1417.0512659016244,311.0,1488866.9795897421,628893.6704,80487.19953777087,35391.0,897.5413974293554,883.0
B,2018-01-20,659,144,687,3151602.114,570292,112565,273,510120,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,633594.9324034698,53004.0,1395.5256329508122,845.0,3896035.603794871,665813.1686,152808.59976888544,34943.0,1107.7706987146776,265.0
J,2018-01-20,370,157,635,467833.4886,32168,24883,28,51576,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,348965.4662017349,570292.0,1332.762816475406,687.0,2415851.2904974353,3151602.114,101287.29988444272,112565.0,923.8853493573388,659.0
S,2018-01-20,840,248,184,1091641.725,102086,69580,541,142777,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,276568.7331008675,32168.0,850.381408237703,635.0,2299567.3702487177,467833.4886,120223.64994222135,24883.0,1301.9426746786694,370.0
X,2018-01-20,222,213,151,464073.9391,35764,21471,328,49833,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,174048.36655043374,102086.0,576.1907041188515,184.0,1613857.624224359,1091641.725,81582.82497111068,69580.0,872.9713373393347,840.0
H,2018-01-20,621,301,953,438567.3407,44766,23121,424,50885,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,131790.18327521687,35764.0,1241.0953520594257,151.0,1245496.1528121794,464073.9391,63912.41248555534,21471.0,1057.4856686696673,222.0
Q,2018-01-20,673,473,768,793897.4898,73760,50431,317,91349,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,139655.09163760842,44766.0,1388.5476760297129,953.0,1416645.5662060897,438567.3407,82387.20624277767,23121.0,1201.7428343348338,621.0
